DATE,PNRGINDEXM
2000-01-01,62.4202189791672
2000-02-01,66.6114488254958
2000-03-01,67.225029034782
2000-04-01,61.4062975494361
2000-05-01,68.9599277331086
2000-06-01,75.4994906427639
2000-07-01,73.0416092263371
2000-08-01,76.5585221868789
2000-09-01,83.1218690005475
2000-10-01,82.6355985222363
2000-11-01,85.1505986471693
2000-12-01,84.1261098097222
2001-01-01,83.1814485254025
2001-02-01,76.9173703688116
2001-03-01,72.3615272370018
2001-04-01,73.3759019697005
2001-05-01,73.7583022620378
2001-06-01,71.1542713871364
2001-07-01,64.9665558211581
2001-08-01,66.102523011559
2001-09-01,62.7193146743706
2001-10-01,55.4313030279186
2001-11-01,50.4660095775874
2001-12-01,49.7152002437657
2002-01-01,49.5825575662354
2002-02-01,51.2704964910743
2002-03-01,59.6135362378066
2002-04-01,63.6739197331979
2002-05-01,64.466222320066
2002-06-01,61.4730990685883
2002-07-01,63.7065802532221
2002-08-01,64.7449703984118
2002-09-01,69.0597629624001
2002-10-01,70.1896626237724
2002-11-01,65.4993205657131
2002-12-01,72.6423714082002
2003-01-01,80.4902523289134
2003-02-01,91.7620295308788
2003-03-01,81.4500871691336
2003-04-01,71.4765809833589
2003-05-01,73.5653543230559
2003-06-01,76.8049015482902
2003-07-01,75.837649502475
2003-08-01,77.8003502248825
2003-09-01,72.6348573592866
2003-10-01,76.3894714631129
2003-11-01,76.6096536727709
2003-12-01,83.0007436941693
2004-01-01,86.2447986177219
2004-02-01,84.3168237702876
2004-03-01,87.7644259334802
2004-04-01,89.6817373453754
2004-05-01,98.3909015313758
2004-06-01,96.1143928148218
2004-07-01,100.314009100359
2004-08-01,106.305663829469
2004-09-01,104.624323284558
2004-10-01,118.034337606689
2004-11-01,109.625843442339
2004-12-01,104.289166683729
2005-01-01,109.686733882725
2005-02-01,111.83720101548
2005-03-01,125.788194746727
2005-04-01,127.002922881281
2005-05-01,120.427602032486
2005-06-01,131.812697836034
2005-07-01,138.616518631132
2005-08-01,152.932872488882
2005-09-01,162.012912909927
2005-10-01,160.175872283216
2005-11-01,145.218243962324
2005-12-01,154.139894673063
2006-01-01,153.627779085428
2006-02-01,147.023767648236
2006-03-01,147.873702477321
2006-04-01,161.631546333228
2006-05-01,160.930138821803
2006-06-01,160.72023798891
2006-07-01,168.282086779375
2006-08-01,169.438549557197
2006-09-01,147.02507377223
2006-10-01,141.311749752026
2006-11-01,145.410414273971
2006-12-01,148.67678199131
2007-01-01,136.117460368494
2007-02-01,146.097135534851
2007-03-01,149.537343744222
2007-04-01,158.152307863593
2007-05-01,159.034356366989
2007-06-01,163.885455256985
2007-07-01,170.441852995859
2007-08-01,165.401219250949
2007-09-01,176.468626955545
2007-10-01,190.309818567272
2007-11-01,209.498301553183
2007-12-01,208.069050366313
2008-01-01,214.721147135964
2008-02-01,222.645273560962
2008-03-01,238.879291693665
2008-04-01,255.73600215522
2008-05-01,283.937024932432
2008-06-01,306.177675212435
2008-07-01,312.413158651256
2008-08-01,271.339215291582
2008-09-01,243.036596447207
2008-10-01,191.153013696292
2008-11-01,152.560496969358
2008-12-01,124.840898625821
2009-01-01,127.650475621574
2009-02-01,119.325616365078
2009-03-01,120.358083800085
2009-04-01,121.184610426246
2009-05-01,135.29752219325
2009-06-01,154.963026680659
2009-07-01,144.335092278425
2009-08-01,155.808073870793
2009-09-01,150.024142044984
2009-10-01,163.313579534728
2009-11-01,168.930074242282
2009-12-01,170.818768531809
2010-01-01,180.073411382851
2010-02-01,173.916610822747
2010-03-01,177.881737141928
2010-04-01,187.016486043936
2010-05-01,172.995023697844
2010-06-01,172.578004659796
2010-07-01,171.792191127011
2010-08-01,173.136173462369
2010-09-01,172.966605803806
2010-10-01,182.849997700522
2010-11-01,190.000575665351
2010-12-01,201.964972398416
2011-01-01,209.939462949
2011-02-01,217.792255363816
2011-03-01,235.767808464889
2011-04-01,252.56585520287
2011-05-01,240.750204520758
2011-06-01,237.887014599017
2011-07-01,242.632046798832
2011-08-01,230.72674767183
2011-09-01,232.069165968714
2011-10-01,229.148719907104
2011-11-01,236.700400138051
2011-12-01,234.137046373546
2012-01-01,236.639780928151
2012-02-01,244.37538237063
2012-03-01,253.334867416621
2012-04-01,246.437483351255
2012-05-01,228.345683109053
2012-06-01,205.115384676948
2012-07-01,214.923798995347
2012-08-01,228.38041890547
2012-09-01,230.329004179112
2012-10-01,225.631352072791
2012-11-01,221.983245383152
2012-12-01,221.992540971646
2013-01-01,228.249278820253
2013-02-01,232.740441831374
2013-03-01,226.160194096804
2013-04-01,220.957693207567
2013-05-01,220.348564947731
2013-06-01,219.983480594656
2013-07-01,227.022942377991
2013-08-01,232.234194384649
2013-09-01,234.335593832231
2013-10-01,229.393931568248
2013-11-01,225.437048604161
2013-12-01,233.481928890508
2014-01-01,229.997348829529
2014-02-01,237.208789106774
2014-03-01,229.728408549304
2014-04-01,230.829004334013
2014-05-01,231.316954972533
2014-06-01,235.192282803057
2014-07-01,226.539125514781
2014-08-01,218.060902794254
2014-09-01,210.907198558044
2014-10-01,193.017996054761
2014-11-01,178.457199837915
2014-12-01,148.553542734629
2015-01-01,122.682184994966
2015-02-01,134.81149262356
2015-03-01,129.404919039239
2015-04-01,131.379085614686
2015-05-01,138.454609306795
2015-06-01,135.123842424528
2015-07-01,123.655055300502
2015-08-01,109.45031067909
2015-09-01,110.01786831391
2015-10-01,109.521165866788
2015-11-01,101.648466278342
2015-12-01,90.4533908751782
2016-01-01,77.5282475688697
2016-02-01,78.1394299709671
2016-03-01,87.4631354071912
2016-04-01,92.2596613967793
2016-05-01,101.393487211693
2016-06-01,106.415026253878
2016-07-01,101.995127715697
2016-08-01,103.766235482992
2016-09-01,105.174637871301
2016-10-01,114.805980551492
2016-11-01,108.004901761136
2016-12-01,123.054128808003
2017-01-01,128.327232199506
2017-02-01,126.00415149998
2017-03-01,116.320865561787
2017-04-01,119.417137059864
2017-05-01,114.93747017465
2017-06-01,108.243985771035
2017-07-01,112.03881838516
2017-08-01,118.287561643056
2017-09-01,126.22738689537
2017-10-01,130.798628546611
2017-11-01,141.562376199917
2017-12-01,144.914490932292
2018-01-01,156.132085768563
2018-02-01,148.238693280138
2018-03-01,147.971585362215
2018-04-01,152.742968836
2018-05-01,163.580032509477
2018-06-01,163.929323914847
2018-07-01,165.273256289903
2018-08-01,163.922085698098
2018-09-01,174.087746632155
2018-10-01,173.770685406088
2018-11-01,149.33635581887
2018-12-01,133.348545757691
2019-01-01,133.302097566109
2019-02-01,136.04881689201
2019-03-01,138.256366500544
2019-04-01,143.768294236488
2019-05-01,139.410557011613
2019-06-01,123.532319189959
2019-07-01,126.889776998097
2019-08-01,118.180127958155
2019-09-01,123.742530682286
2019-10-01,120.505405051352
2019-11-01,129.104170540792
2019-12-01,132.368240951673
2020-01-01,127.414324508157
2020-02-01,110.312331516558
2020-03-01,73.6845325285698
2020-04-01,52.7713064179163
2020-05-01,66.9152493434533
2020-06-01,82.4151547043064
2020-07-01,86.9007454697841
2020-08-01,93.3839170125343
2020-09-01,90.5250421696545
2020-10-01,93.3353269959688
2020-11-01,100.185359288697
2020-12-01,118.820421201252
2021-01-01,138.811125462822
2021-02-01,143.435941784902
2021-03-01,142.660979688708
2021-04-01,143.341765120802
2021-05-01,155.267281852591
2021-06-01,171.657610712305
2021-07-01,183.050593657259
2021-08-01,184.8914258742
2021-09-01,213.711308788968
